Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
194,83050,Draguignan,https://fr.wikipedia.org/wiki/Draguignan,Var,Sous-préfecture,Provence-Alpes-Côte d'Azur,40826,39340,37476,37117,32829
195,60159,Compiègne,https://fr.wikipedia.org/wiki/Compiègne,Oise,Sous-préfecture,Hauts-de-France,40761,40199,40028,41714,41254
196,26198,Montélimar,https://fr.wikipedia.org/wiki/Montélimar,Drôme,—,Auvergne-Rhône-Alpes,40595,39097,35704,34636,31344
197,62160,Boulogne-sur-Mer,https://fr.wikipedia.org/wiki/Boulogne-sur-Mer,Pas-de-Calais,Sous-préfecture,Hauts-de-France,40539,40874,42785,43840,44859
198,59178,Douai,https://fr.wikipedia.org/wiki/Douai,Nord,Sous-préfecture,Hauts-de-France,40250,39700,41732,42621,42796
199,59378,Marcq-en-Barœul,https://fr.wikipedia.org/wiki/Marcq-en-Barœul,Nord,—,Hauts-de-France,40184,38617,39600,39101,37177
200,93050,Neuilly-sur-Marne,https://fr.wikipedia.org/wiki/Neuilly-sur-Marne,Seine-Saint-Denis,—,Île-de-France,39800,34993,34658,33422,32754
203,77373,Pontault-Combault,https://fr.wikipedia.org/wiki/Pontault-Combault,Seine-et-Marne,—,Île-de-France,39096,37747,37631,34733,32886
205,13028,La Ciotat,https://fr.wikipedia.org/wiki/La_Ciotat,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,38477,35174,34063,32901,31630
206,37122,Joué-lès-Tours,https://fr.wikipedia.org/wiki/Joué-lès-Tours,Indre-et-Loire,—,Centre-Val de Loire,38423,37893,37196,35836,36517
207,93073,Tremblay-en-France,https://fr.wikipedia.org/wiki/Tremblay-en-France,Seine-Saint-Denis,—,Île-de-France,38348,36180,34081,35410,33885
208,28085,Chartres,https://fr.wikipedia.org/wiki/Chartres,Eure-et-Loir,Préfecture,Centre-Val de Loire,38324,38578,38889,39767,40361
209,69149,Oullins-Pierre-Bénite,https://fr.wikipedia.org/wiki/Oullins-Pierre-Bénite,Métropole de Lyon,—,Auvergne-Rhône-Alpes,38168,36663,35967,35558,35146
210,95252,Franconville,https://fr.wikipedia.org/wiki/Franconville,Val-d'Oise,—,Île-de-France,37754,36762,33196,32932,33497
211,38421,Saint-Martin-d'Hères,https://fr.wikipedia.org/wiki/Saint-Martin-d'Hères,Isère,—,Auvergne-Rhône-Alpes,37695,38487,38105,35502,35777
212,74012,Annemasse,https://fr.wikipedia.org/wiki/Annemasse,Haute-Savoie,—,Auvergne-Rhône-Alpes,37628,35712,33166,29540,27253
213,91589,Savigny-sur-Orge,https://fr.wikipedia.org/wiki/Savigny-sur-Orge,Essonne,—,Île-de-France,37601,36533,37135,37469,36258
214,38151,Échirolles,https://fr.wikipedia.org/wiki/Échirolles,Isère,—,Auvergne-Rhône-Alpes,37491,36840,35826,35383,32806
215,91477,Palaiseau,https://fr.wikipedia.org/wiki/Palaiseau,Essonne,Sous-préfecture,Île-de-France,37471,35514,30268,30149,28965
216,93063,Romainville,https://fr.wikipedia.org/wiki/Romainville,Seine-Saint-Denis,—,Île-de-France,37152,27567,25411,25563,23779
217,83118,Saint-Raphaël,https://fr.wikipedia.org/wiki/Saint-Raphaël,Var,—,Provence-Alpes-Côte d'Azur,37113,35042,34115,34381,30671
218,83129,Six-Fours-les-Plages,https://fr.wikipedia.org/wiki/Six-Fours-les-Plages,Var,—,Provence-Alpes-Côte d'Azur,37109,32829,34057,35091,32742
